LGA19_source,LGA19_target,date,time,region,n_trips
10650,10650,2/1/21,0,VIC,0
10650,10650,2/1/21,800,NSW,1212.74992
10650,10650,2/1/21,800,VIC,0
10650,10650,2/1/21,1600,NSW,1161.740662
10650,10650,2/1/21,1600,VIC,0
10650,10650,3/1/21,0,NSW,1104.685112
10650,10650,3/1/21,0,VIC,0
10650,10650,3/1/21,800,NSW,1231.722145
10650,10650,3/1/21,800,VIC,0
10650,10650,3/1/21,1600,NSW,1120.685112
10650,10650,3/1/21,1600,VIC,0
10650,12870,1/1/21,0,NSW,6.869970832
10650,12870,1/1/21,800,NSW,7.043894144
10650,12870,1/1/21,1600,NSW,7.1308558
10650,12870,2/1/21,0,NSW,6.087315927
10650,12870,2/1/21,800,NSW,7.043894144
10650,12870,2/1/21,1600,NSW,6.956932488
10650,12870,3/1/21,0,NSW,6.435162551
10650,12870,3/1/21,800,NSW,6.783009176
10650,12870,3/1/21,1600,NSW,6.435162551
10650,24900,1/1/21,0,NSW,0
10650,24900,1/1/21,0,VIC,0
10650,24900,1/1/21,800,NSW,0
10650,24900,1/1/21,800,VIC,0
10650,24900,1/1/21,1600,NSW,0
10650,24900,1/1/21,1600,VIC,0
10650,24900,2/1/21,0,NSW,0
10650,24900,2/1/21,0,VIC,0
10650,24900,2/1/21,800,NSW,0
10650,24900,2/1/21,800,VIC,0
10650,24900,2/1/21,1600,NSW,0
10650,24900,2/1/21,1600,VIC,0
10650,24900,3/1/21,0,NSW,0
10650,24900,3/1/21,0,VIC,0
10650,24900,3/1/21,800,NSW,0
10650,24900,3/1/21,800,VIC,0
10650,24900,3/1/21,1600,NSW,0
10650,24900,3/1/21,1600,VIC,0
10750,10500,1/1/21,0,NSW,27.02036568
10750,10500,1/1/21,800,NSW,26.92804688
10750,10500,1/1/21,1600,NSW,11.61409793
10750,10500,2/1/21,0,NSW,20.0777267
10750,10500,2/1/21,800,NSW,20.07049166
10750,10500,2/1/21,1600,NSW,9.935960617
10750,10500,3/1/21,0,NSW,11.72880864
10750,10500,3/1/21,800,NSW,17.77318572
10750,10500,3/1/21,1600,NSW,47.10730232
10750,10750,1/1/21,0,NSW,18490.511
10750,10750,1/1/21,800,NSW,20521.07636
10750,10750,1/1/21,1600,NSW,18693.4572
10750,10750,2/1/21,0,NSW,18058.01315
10750,10750,2/1/21,800,NSW,20174.03954
10750,10750,2/1/21,1600,NSW,19119.43067
10750,10750,3/1/21,0,NSW,18919.37712
10750,10750,3/1/21,800,NSW,21183.39117
10750,10750,3/1/21,1600,NSW,18165.51373
10750,10900,1/1/21,0,NSW,0.161367153
10750,10900,1/1/21,800,NSW,0.285495732
10750,10900,1/1/21,1600,NSW,0.198605727
10750,10900,2/1/21,0,NSW,0.2358443
10750,10900,2/1/21,800,NSW,0.663796668
10750,10900,2/1/21,1600,NSW,0.211018584
10750,10900,3/1/21,0,NSW,0.161367153
10750,10900,3/1/21,800,NSW,0.29790859
10750,10900,3/1/21,1600,NSW,0.186192869
10750,11300,1/1/21,0,NSW,9.530973333
10750,11300,1/1/21,800,NSW,9.197737492
10750,11300,1/1/21,1600,NSW,6.20138912
10750,11300,2/1/21,0,NSW,8.407876081
10750,11300,2/1/21,800,NSW,12.17009968
10750,11300,2/1/21,1600,NSW,5.723512218
10750,11300,3/1/21,0,NSW,5.351788415
10750,11300,3/1/21,800,NSW,10.13815405
10750,11300,3/1/21,1600,NSW,14.7902376
10750,11450,1/1/21,0,NSW,15.31340159
10750,11450,1/1/21,800,NSW,23.53188471
10750,11450,1/1/21,1600,NSW,0.105898993
10750,11450,2/1/21,0,NSW,8.387872362
10750,11450,2/1/21,800,NSW,0.352467327
10750,11450,2/1/21,1600,NSW,0.151284276
10750,11450,3/1/21,0,NSW,0.12102742
10750,11450,3/1/21,800,NSW,0.296814591
10750,11450,3/1/21,1600,NSW,14.41132944
10750,11500,1/1/21,0,NSW,25.61486263
10750,11500,1/1/21,800,NSW,48.8644968
10750,11500,1/1/21,1600,NSW,11.05193302
10750,11500,2/1/21,0,NSW,7.340238212
10750,11500,2/1/21,800,NSW,18.89586717
10750,11500,2/1/21,1600,NSW,0.279980175
10750,11500,3/1/21,0,NSW,0.421588823
10750,11500,3/1/21,800,NSW,0.436294388
10750,11500,3/1/21,1600,NSW,33.76557962
10750,11520,1/1/21,0,NSW,34.68811512
10750,11520,1/1/21,800,NSW,27.43962359
10750,11520,1/1/21,1600,NSW,30.01079159
10750,11520,2/1/21,0,NSW,28.16656117
